dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod
1636092000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0,2021-11-05 06:00:00,274.26,274.26,272.96,274.26,1026,1026,1018,86,90,1.15,339,1.07,n
1636102800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0,2021-11-05 09:00:00,273.64,272.11,272.41,273.64,1026,1026,1018,84,75,1.4,332,1.41,n
1636113600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0,2021-11-05 12:00:00,273.33,271.57,272.86,273.33,1027,1027,1019,82,48,1.52,325,1.75,d
1636124400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0,2021-11-05 15:00:00,280.08,278.24,280.08,280.08,1027,1027,1019,45,2,2.63,331,4.14,d
1636135200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0,2021-11-05 18:00:00,282.08,280.12,282.08,282.08,1026,1026,1017,33,1,3.44,321,4.85,d
1636146000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0,2021-11-05 21:00:00,278.53,277.69,278.53,278.53,1027,1027,1018,54,2,1.38,324,1.38,d
1636156800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0,2021-11-06 00:00:00,273.99,273.99,273.99,273.99,1029,1029,1020,66,2,1.04,301,0.99,n
1636167600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0,2021-11-06 03:00:00,273.08,273.08,273.08,273.08,1029,1029,1021,71,0,1.12,282,1.06,n
1636178400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0,2021-11-06 06:00:00,272.78,272.78,272.78,272.78,1030,1030,1021,74,1,1.21,288,1.11,n
1636189200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0,2021-11-06 09:00:00,272.47,272.47,272.47,272.47,1030,1030,1021,77,3,1.02,297,0.99,n
1636200000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0,2021-11-06 12:00:00,273.0,273.0,273.0,273.0,1031,1031,1022,76,8,0.92,277,0.89,d
1636210800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0,2021-11-06 15:00:00,280.94,280.08,280.94,280.94,1030,1030,1021,47,56,1.68,275,3.11,d
1636221600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0,2021-11-06 18:00:00,284.36,282.48,284.36,284.36,1027,1027,1019,36,49,1.83,234,2.98,d
